name,link,rating,num_reviews,price,distance_to_city_center,star,description,images,address
Hotel Altes Fährhaus,https://www.booking.com/hotel/de/boutique-fahrhaus.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=325156114_404346518_2_2_0_855240&highlighted_blocks=325156114_404346518_2_2_0_855240&matching_block_id=325156114_404346518_2_2_0_855240&sr_pri_blocks=325156114_404346518_2_2_0_855240_44550&from=searchresults,8.3,1086,446,12.2,4,"Located in Berlin by the river Havel, Hotel Altes Fährhaus offers an beautiful accommodations surrounded by nature. The hotel features a playground, a garden as well as free WiFi and parking.

Guests can enjoy outdoor activities like running, cycling or swimming at the beach located in 0.9 mi distance. Services like bicycle or boat hire are available on request, depending on the season. The property further offers free and secure bicycle parking.

Guest rooms have a private bathroom with a shower and free toiletries, while some rooms have a kitchenette. All rooms are equipped with a flat-screen TV with satellite.

A fresh buffet breakfast is served daily at the property. There is also a bar and a restaurant serving Italian cuisine on site.

Kurfürstendamm and Messe Berlin are 8.7 mi away, while The Brandenburg Gate and The Reichstag are about 11 mi from the property. Tegel Airport is only 6.8 mi away.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/718724901.jpg?k=abed8e80e6217af5c49c905fcccc895d5247e311d5c8848bab8a90afb63ec877&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/625069385.jpg?k=8420aed62cd98a82623c9cb28abd22597916628e818d59609f8d9a1b0b391d43&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/715294352.jpg?k=36ed42729337efd3d5a2970cd7c9b367de6a785611c733a89e0b982d80636775&o=']","Aalemannufer 31, Spandau, 13587 Berlin, Germany"
Hotel AMANO East Side,https://www.booking.com/hotel/de/amano-east-side.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=755921501_332426243_0_34_0_244976&highlighted_blocks=755921501_332426243_0_34_0_244976&matching_block_id=755921501_332426243_0_34_0_244976&sr_pri_blocks=755921501_332426243_0_34_0_244976_28740&from_sustainable_property_sr=1&from=searchresults,8.4,7448,287,3.8,4,"Comfortable Accommodations: Hotel AMANO East Side in Berlin offers air-conditioned rooms with private bathrooms, hypoallergenic bedding, and free WiFi. Each room includes a refrigerator, TV, and parquet floors.

Exceptional Facilities: Guests can relax on the sun terrace or in the garden, enjoy the on-site restaurant and bar, and take advantage of the 24-hour front desk and housekeeping services. Additional amenities include an electric vehicle charging station, bicycle parking, and luggage storage.

Dining Experience: The hotel serves a buffet breakfast with vegetarian and gluten-free options, including fresh pastries, cheese, fruits, and juice. Pizza is available for lunch and dinner.

 Located 15 mi from Berlin Brandenburg Airport, the hotel is a short walk from the East Side Gallery and Alexanderplatz. Nearby attractions include Berlin Cathedral and the Berlin TV Tower.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/747852826.jpg?k=7ec59896321854fa246975813b381d66973a31c5db28f732a78afe80234efb04&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/316102157.jpg?k=c768f1e179a703b0b327a9a56eed63c9d2cc0caf99dd67487aea12e1490233b1&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/316102268.jpg?k=6e89fb2f7f3c331e032e9c0d76249d7e53310836e759c5eef81e09aaa1b39b35&o=']","Stralauer Platz 30-31, Friedrichshain-Kreuzberg, 10243 Berlin, Germany"
Mercure Hotel MOA Berlin,https://www.booking.com/hotel/de/moa-berlin.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=25614705_376297726_2_2_0_697082&highlighted_blocks=25614705_376297726_2_2_0_697082&matching_block_id=25614705_376297726_2_2_0_697082&sr_pri_blocks=25614705_376297726_2_2_0_697082_30520&from_sustainable_property_sr=1&from=searchresults,8.5,5547,305,2.8,4,"Offering a unique atrium and free WiFi, this 4-star design hotel lies in the Tiergarten district of Berlin. Birkenstraße Underground Station is 656 feet away.

All rooms at the Mercure Hotel MOA Berlin feature air conditioning, tea/coffee facilities, and a flat-screen TV.

The Mercure Hotel MOA Berlin's large atrium features a light-flooded lobby and garden design. Guests can also relax in the stylish bar or in the Mercure Hotel MOA Berlin's spacious restaurant.

The hotel is located in a historic building which used to be a bread factory. Many international restaurants, cafés, and shops are located nearby.

The Mercure Hotel MOA Berlin is only 2 underground stops from Berlin Zoo and 3 stops from the Kurfürstendamm shopping street.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/652562249.jpg?k=e32e9dd76d823ff54aedf027601cccfd3fabe255b5f7d540efdcae06dd63b901&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/652562250.jpg?k=60a3933f61b01c1fc025f543dfc1d5a1cf2c3b84eea46449aa0ceb56f91275bb&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/652562251.jpg?k=f9d638630679ad7627c239ff08f08b18db3334b5bd335b00a1e58db80b4e96b5&o=']","Stephanstr. 41, Mitte, 10559 Berlin, Germany"
Holiday Inn Express - Berlin - Alexanderplatz by IHG,https://www.booking.com/hotel/de/holiday-inn-express-berlin-alexanderplatz.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=215431103_376233971_2_1_0&highlighted_blocks=215431103_376233971_2_1_0&matching_block_id=215431103_376233971_2_1_0&sr_pri_blocks=215431103_376233971_2_1_0__38915&from_sustainable_property_sr=1&from=searchresults,8.5,9719,389,2.4,3,"The Holiday Inn Express - Berlin - Alexanderplatz is located in the Mitte district in Berlin, 1969 feet from the Berlin TV Tower. It offers an on-site bar, a 24-hour reception and free WiFi throughout the property.

Every room at this hotel is air conditioned and features a modern design, a kettle and a flat-screen TV with satellite channels and USB ports. Certain rooms feature a seating area where you can relax. All rooms have a private bathroom.

Alexanderplatz is 2297 feet from the hotel. The Holiday Inn Express - Berlin - Alexanderplatz is also just a 5-minute walk from the Nikolai historic district and a 10-minute walk from the UNESCO Museum Island.

The Klosterstraße Underground Station is just steps away. Located on the U2 line, it offers direct connections to the Prenzlauer Berg going-out district, Alexanderplatz, Potsdamer Platz, the Berlin Exhibition Grounds and the Olympic Stadium.

Private parking is available on site for a daily fee. In the hotel's underground garage there are 2 charging stations for electric vehicles.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/262496496.jpg?k=42044eed2500e7e5a1696088cb8c195e815fd706eb29761b2d15ac0873f5da8f&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/272440199.jpg?k=9a13d30a71f18195e5f336ff69bf31c07580d94db70a999f8ded45cca5d330fc&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/331068169.jpg?k=8f502885ef0ef2e3c156d3aa5d819e9d39e10847c5232f85e2a18594f07f4e6f&o=']","Stralauer Strasse 45, Mitte, 10179 Berlin, Germany"
Locke at East Side Gallery,https://www.booking.com/hotel/de/locke-at-east-side-gallery.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=979082301_371834671_0_0_0_1177088&highlighted_blocks=979082301_371834671_0_0_0_1177088&matching_block_id=979082301_371834671_0_0_0_1177088&sr_pri_blocks=979082301_371834671_0_0_0_1177088_37410&from=searchresults,9.2,2548,374,4.2,4,"Comfortable Accommodations: Locke at East Side Gallery in Berlin offers air-conditioned rooms with private bathrooms, tea and coffee makers, and free WiFi. Each room includes a work desk, seating area, and modern amenities.

Exceptional Facilities: Guests can enjoy a fitness center, terrace, restaurant, bar, and coffee shop. Additional services include a 24-hour front desk, bike hire, and luggage storage.

Prime Location: Located 15 mi from Berlin Brandenburg Airport, the hotel is a 7-minute walk from the East Side Gallery. Nearby attractions include Alexanderplatz (1.6 mi) and Berlin Cathedral (2.4 mi). Guests appreciate the scenic views and well-equipped kitchens.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/490614024.jpg?k=f4121b1f622b427b62bb057e0d6dfb3da58fa46e91ab0f18e9cfe6a13882a4e7&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/487621897.jpg?k=88d902530b2526e324ecbe5c3b41ae826c21968b740fac72b3ebce4d45eedebf&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/587179493.jpg?k=1a64690edf58d59799601445e7d5b8a809ce8c03536869ccdc0b311d37906cb4&o=']","Mühlenstraße 61-63, Friedrichshain-Kreuzberg, 10243 Berlin, Germany"
Hotel AMO by AMANO Friedrichstraße,https://www.booking.com/hotel/de/amo-by-amano.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=473190001_147355408_2_2_0_244972&highlighted_blocks=473190001_147355408_2_2_0_244972&matching_block_id=473190001_147355408_2_2_0_244972&sr_pri_blocks=473190001_147355408_2_2_0_244972_30026&from_sustainable_property_sr=1&from=searchresults,8.4,4744,300,1.3,3,"Comfortable Accommodations: Hotel AMO by AMANO Friedrichstraße in Berlin offers air-conditioned rooms with private bathrooms, free WiFi, and modern amenities. Each room includes a bath, shower, TV, and work desk.

Dining and Leisure: Guests can enjoy a buffet breakfast and dinner at the on-site restaurant. The hotel features a terrace, garden, bar, and outdoor seating area. Additional facilities include a paid shuttle service, elevator, 24-hour front desk, concierge, and tour desk.

Prime Location: Located in the city center, the hotel is less than 0.6 mi from the Natural History Museum and close to attractions such as the Memorial of the Berlin Wall and Brandenburg Gate. Berlin Brandenburg Airport is 17 mi away. An ice-skating rink is nearby.

 Highly rated for its public transport options, convenience for city trips, and breakfast provided by the property.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/204715442.jpg?k=09938841e3bc64806eaaf9f13e8fc9e8a9dce229f0631fb3e7d249297b618223&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/204716553.jpg?k=8d203bb2a2a6837d15c6777d0ac45cae865627c62ed6c953b43a5fd4310d71c1&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/465345998.jpg?k=abb9e86131faeb058f3127587651b4d36c56ddc8ab1e94825bc6338a7e7331fb&o=']","Friedrichstraße 113, Mitte, 10117 Berlin, Germany"
Steigenberger Hotel Am Kanzleramt,https://www.booking.com/hotel/de/steigenberger-am-kanzleramt.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=100481502_338444650_2_2_0_118709&highlighted_blocks=100481502_338444650_2_2_0_118709&matching_block_id=100481502_338444650_2_2_0_118709&sr_pri_blocks=100481502_338444650_2_2_0_118709_44932&from=searchresults,8.8,8068,449,1,5,"Central Location: Steigenberger Hotel Am Kanzleramt in Berlin offers a central setting with Berliner Philharmonie and Brandenburg Gate within 0.9 mi. Berlin Central Station is a 3-minute walk away, while Berlin Brandenburg Airport lies 17 mi from the property.

Comfortable Accommodations: Rooms feature air-conditioning, private bathrooms with walk-in showers, and free WiFi. Additional amenities include terraces with city views, mini-bars, and soundproofing.

Dining Experience: The modern restaurant serves German and international cuisines with vegetarian options. Guests can enjoy breakfast buffet, dinner, and room service.

Facilities: The hotel offers a sauna, fitness center, bar, and free WiFi. Other facilities include a business area, family rooms, and bicycle parking.

Nearby Attractions: Nearby attractions include Reichstag, Holocaust Memorial, and Berlin Central Station. Boating and cycling activities are available in the surroundings.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/67608147.jpg?k=cba44d40de4798df2f6cb567d48182e7ed32c70775abe6c54b979e745dfea00a&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/67523525.jpg?k=3108d60b85933c48105f050b4d0a5bcbbad578f5ceaf230daff555bd2dc1811a&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/67609497.jpg?k=b8d83449410b0cd321bd3bb857ae346d0e7f2febf8354f98546f2849840d5aa7&o=']","Ella-Trebe-Straße 5, Mitte, 10557 Berlin, Germany"
Schwalbenflug 1 Berlin,https://www.booking.com/hotel/de/schwalbenflug-1-berlin-berlin.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=552614401_208917244_6_0_0_348270&highlighted_blocks=552614401_208917244_6_0_0_348270&matching_block_id=552614401_208917244_6_0_0_348270&sr_pri_blocks=552614401_208917244_6_0_0_348270_108000&from=searchresults,9.4,43,1080,11.7,4,"Spacious Accommodations: Schwalbenflug 1 Berlin offers a spacious apartment in Berlin. The property features three bedrooms and a modern bathroom, ensuring comfort for all guests.

Exceptional Facilities: Guests can enjoy a beautiful garden, a family-friendly restaurant serving Italian cuisine, and free WiFi. Additional amenities include a games room, children's playground, and barbecue facilities.

Convenient Location: Located 18 mi from Berlin Brandenburg Airport, the apartment is near attractions such as Alexanderplatz Underground Station (6.8 mi) and the Berlin TV Tower (7.5 mi). The quietness of the area is highly appreciated by guests.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/216067412.jpg?k=4c1f581a4c650d9f0425cc022d979a6cdbe2818fb7cf3e6fbaa71d057a7ebe32&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/363206194.jpg?k=f73807768b22b3976ba9e1218bf6261e66e409587bd2d6903b15abd9f298be97&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/216066294.jpg?k=58adbfce8327b9743264128818329d282b8cd41468605e019d00f75d187b25c3&o=']","Schwalbenflug 1, Marzahn, Marzahn-Hellersdorf, 12685 Berlin, Germany"
"Hotel Berlin, Berlin, a member of Radisson Individuals",https://www.booking.com/hotel/de/bbberlin.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=6005299_375773172_2_2_0&highlighted_blocks=6005299_375773172_2_2_0&matching_block_id=6005299_375773172_2_2_0&sr_pri_blocks=6005299_375773172_2_2_0__41280&from_sustainable_property_sr=1&from=searchresults,8.2,19300,413,2.1,4,"Comfortable Accommodations: Hotel Berlin in Berlin offers family rooms with air-conditioning, private bathrooms, and modern amenities. Each room includes a work desk, TV, and free WiFi, ensuring a pleasant stay.

Exceptional Facilities: Guests can enjoy a sauna, fitness center, restaurant, and bar. The modern restaurant serves German, international, and European cuisines, offering brunch, lunch, and dinner. Additional facilities include a minimarket, bicycle parking, and express check-in and check-out services.

Prime Location: Located in the city center, the hotel is 14 mi from Berlin Brandenburg Airport. Nearby attractions include Zoologischer Garten underground station (16-minute walk), Berliner Philharmonie (1.1 mi), and Kurfürstendamm (1.6 mi). Boating is available in the surroundings.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/666957909.jpg?k=d52f7fe65ed5ffb76fd73e32712380c08b5f0e4da7fa0e18715cde6b1151c292&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/666957935.jpg?k=a0e389694d59a897b005451830411b4cc0b0cbbc6ad448b1d2d0a65924a37364&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/669664030.jpg?k=e5ae9f4e8d8cc6b7c04fa9df9a34e9eb08d229187afd3310ae06e62e114b3875&o=']","Lützowplatz 17, Mitte, 10785 Berlin, Germany"
Motel One Berlin-Bellevue,https://www.booking.com/hotel/de/motel-one-berlin-bellevue.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=18181603_388539336_2_2_0&highlighted_blocks=18181603_388539336_2_2_0&matching_block_id=18181603_388539336_2_2_0&sr_pri_blocks=18181603_388539336_2_2_0__30531&from_sustainable_property_sr=1&from=searchresults,8.3,4198,305,1.5,3,"This Motel One Berlin-Bellevue provides air-conditioned rooms, a 24-hour bar and free Wi-Fi. Bellevue Palace and the Tiergarten Park are a 5-minute walk away.

All of the stylish rooms at the Motel One Berlin-Bellevue include a flat-screen TV and a dark granite bathroom with a rainforest shower.

Featuring large sofas and modern décor, the One Lounge combines a lobby, a bar and a café. International drinks, coffee specialties and a variety of snacks are available here.

The Bellevue S-Bahn (city rail) Station is just 1969 feet from the Motel One Bellevue, providing a link to Berlin’s Main Train Station in just 2 minutes.

Some free parking spaces are available on the street nearby. A certain number of supervised garage parking spaces are available for an additional charge, and these must be reserved directly at the hotel.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/482030166.jpg?k=d22879acb039e5583d47fc298c3c2feff383dd3ae4c3e01c6bdef1741db11a14&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/752479995.jpg?k=6010c718fed14908da5348b4cfa2a00e5423c228eafaabd8a7a15dcc06c36d1f&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/482030082.jpg?k=37325f51ca47ed0a857a013cfe11d80ffda3dd4ddf59bdb3b7fb6536427e475d&o=']","Paulstraße 21, Mitte, 10557 Berlin, Germany"
harry's home Berlin-Moabit hotel & apartments,https://www.booking.com/hotel/de/harry-s-home-berlin.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=6004002_370124197_2_2_0&highlighted_blocks=6004002_370124197_2_2_0&matching_block_id=6004002_370124197_2_2_0&sr_pri_blocks=6004002_370124197_2_2_0__36733&from=searchresults,8.9,1618,367,2.6,4,"harry's home Berlin-Moabit hotel & apartments had a total renovation beginning of 2023.Centrally located in Berlin’s Tiergarten-Mitte District, harry's home Berlin-Moabit hotel & apartments is a modern hotel combining international standards with a local flavor. The bright rooms enjoy a view of the shady courtyard.

Accommodations at the harry's home Berlin-Moabit hotel & apartments is provided in spacious guestrooms equipped with extra-long beds. They all include a flat-screen TV featuring cable channels.

A rich buffet breakfast is served daily in the stylish Park Restaurant or on the outdoor terrace.

The hotel stands beside the Turmstraße U-Bahn Station, only 2 stops from the elegant shops of the Kurfürstendamm. Bus TXL for Tegel Airport stops outside the harry's home Berlin-Moabit hotel & apartments and runs to Tegel Airport in 20 minutes.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/471392479.jpg?k=95bec1407afe747e3acdd0f62b299a310179652b01d49db9bb76183551dcd9d0&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/471392454.jpg?k=8273d1bc558a14c0114cd9ebe7e4370b4f0e5d7c7704d1fcf3037c0898804f97&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/471394217.jpg?k=40ccec8c2b7c21154b678c9584ccfa0870dd4ce96235db5694b5dad15af7d38c&o=']","Alt Moabit 86A, Mitte, 10555 Berlin, Germany"
Premier Inn Berlin Alexanderplatz,https://www.booking.com/hotel/de/premier-inn-berlin-alexanderplatz.html?label=gen173nr-10CAQoggJCL3NlYXJjaF9iZXJsaW4sIGJlcmxpbiBmZWRlcmFsIHN0YXRlLCBnZXJtYW554oCmSDNYBGhIiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALByIDGBsACAdICJGY3YjA1OTQyLWExZGUtNDJmZS05MTljLWVmM2I3N2E1YTQzNtgCAeACAQ&aid=356980&ucfs=1&arphpl=1&checkin=2025-12-22&checkout=2025-12-26&dest_id=-1746443&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2fc67649e25201fc&srepoch=1759078169&all_sr_blocks=1020066701_401089807_2_2_0&highlighted_blocks=1020066701_401089807_2_2_0&matching_block_id=1020066701_401089807_2_2_0&sr_pri_blocks=1020066701_401089807_2_2_0__32143&from=searchresults,8.2,6295,321,2.9,3,"Prime Location: Premier Inn Berlin Alexanderplatz is located in Berlin city center, offering easy access to key attractions. Alexanderplatz Underground Station is a five-minute walk away, while Alexanderplatz lies 1640 feet nearby. Berlin Cathedral is a 19-minute walk, and Berlin TV Tower is less than 0.6 mi distant.

Comfortable Accommodations: Rooms feature private bathrooms with free toiletries, hairdryers, and showers. Each room includes a TV, electric kettle, and complimentary WiFi, ensuring a pleasant stay.

Convenient Facilities: Guests can enjoy a bar and free WiFi, private check-in and check-out services, a elevator, and a 24-hour front desk. Additional amenities include bicycle parking, luggage storage, and a buffet breakfast.

Nearby Attractions: Berlin Brandenburg Airport is 16 mi from the hotel. Other nearby points of interest include the Pergamon Museum and Neues Museum, each 1.1 mi away, and the German Historical Museum at 1.1 mi. An ice-skating rink is also located in the surroundings.","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/466325721.jpg?k=cc3dfa504e4720d5721de717428946097127d52d4a9f3d6056151fe64b67a7ba&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/466326856.jpg?k=c40e281cf52ab6ce78da552e5bfc95deb937e5fbc1b0a5872f72725ebba96ec4&o=', 'https://cf.bstatic.com/xdata/images/hotel/max500/466344774.jpg?k=2a482ed692fcc80e06c34d3d5179b062a1be37335175cebabf5f00873481edbf&o=']","2 Theanolte-Bähnisch-Straße, Mitte, 10178 Berlin, Germany"
